0.85883553 0.00850332 2.85937745E-03 5.64841850E-05
0.87601224 0.00867339 2.83475029E-03 5.59412905E-05
0.89353249 0.00884686 2.87378342E-03 4.69029172E-05
0.91140314 0.00902379 2.84689744E-03 4.73171056E-05
0.92963120 0.00920427 2.89357525E-03 4.76974445E-05
0.94822382 0.00938835 2.87553292E-03 4.08229450E-05
0.96718830 0.00957612 2.86696477E-03 4.20889490E-05
0.98653207 0.00976764 2.86207234E-03 4.27912500E-05
1.00626271 0.00996300 2.77775809E-03 3.92133611E-05
1.02638796 0.01016226 2.84557011E-03 3.52695371E-05
1.04691572 0.01036550 2.89353745E-03 3.57934038E-05
1.06785403 0.01057281 2.79730820E-03 3.20464716E-05
1.08921111 0.01078427 2.79033406E-03 3.38244215E-05
1.11099534 0.01099995 2.84617472E-03 3.07256736E-05
1.13321524 0.01121995 2.88982234E-03 2.94443820E-05
1.15587955 0.01144435 2.96525601E-03 2.88089039E-05
1.17899714 0.01167324 2.90552310E-03 3.10902120E-05
1.20257708 0.01190670 2.83092763E-03 2.86447869E-05
1.22662862 0.01214484 2.86485841E-03 2.90822063E-05
1.25116120 0.01238773 2.81036695E-03 2.76716669E-05
1.27618442 0.01263549 2.81734267E-03 3.00390121E-05
1.30170811 0.01288820 2.83687069E-03 2.79423098E-05
1.32774227 0.01314596 2.84768191E-03 2.78966062E-05
1.35429712 0.01340888 2.93562982E-03 2.82730258E-05
1.38138306 0.01367706 2.92282331E-03 3.00732913E-05
1.40901072 0.01395060 2.94508080E-03 2.90252566E-05
1.43719093 0.01422961 2.93028598E-03 3.05614982E-05
1.46593475 0.01451421 2.92265682E-03 3.10992373E-05
1.49525345 0.01480449 2.91519067E-03 3.11667326E-05
1.52515852 0.01510058 2.80748947E-03 3.15392328E-05
1.55566169 0.01540259 2.84945701E-03 3.18914937E-05
1.58677492 0.01571064 2.81296015E-03 3.26557574E-05
1.61851042 0.01602486 2.85747221E-03 3.29641149E-05
1.65088063 0.01634535 2.91177593E-03 3.26980589E-05
1.68389824 0.01667226 2.91322600E-03 3.28833740E-05
1.71757621 0.01700571 2.89709033E-03 3.51967057E-05
1.75192773 0.01734582 2.87389583E-03 3.52843752E-05
1.78696628 0.01769274 2.87590610E-03 4.03172501E-05
1.82270561 0.01804659 2.84271987E-03 3.86378508E-05
1.85915972 0.01840752 2.91758795E-03 3.74923464E-05
1.89634292 0.01877567 2.88254808E-03 4.05082679E-05
1.93426977 0.01915119 2.90953927E-03 4.31590070E-05
1.97295517 0.01953421 2.82900706E-03 4.23246847E-05
2.01241427 0.01992489 2.78621204E-03 4.33889586E-05
2.05266256 0.02032339 2.88549037E-03 4.48375209E-05
2.09371581 0.02072986 2.78190470E-03 4.38852818E-05
2.13559013 0.02114446 2.84350420E-03 4.77556474E-05
2.17830193 0.02156735 2.88962136E-03 4.58748195E-05
2.22186797 0.02199869 2.94064374E-03 5.23007174E-05
2.26630533 0.02243867 2.99488196E-03 4.94283734E-05
2.31163143 0.02288744 2.96697165E-03 5.09119833E-05
2.35786406 0.02334519 3.00740258E-03 5.64082542E-05
2.40502134 0.02381209 2.90310509E-03 5.74179164E-05
2.45312177 0.02428833 2.97604655E-03 6.48250257E-05
2.50218421 0.02477410 2.94294298E-03 6.53417106E-05
2.55222789 0.02526958 2.89889247E-03 6.73341132E-05
2.60327245 0.02577497 2.87288411E-03 7.00024463E-05
2.65533790 0.02629047 2.76146864E-03 7.44054579E-05
2.70844465 0.02681628 2.89181189E-03 8.49231988E-05
2.76261355 0.02735261 2.91068521E-03 9.22611384E-05
2.81786582 0.02789966 2.84793589E-03 1.16626991E-04
