0.858836 0.008503 0.002859 0.000056
0.876012 0.008673 0.002835 0.000055
0.893532 0.008847 0.002874 0.000047
0.911403 0.009024 0.002847 0.000047
0.929631 0.009204 0.002894 0.000048
0.948224 0.009388 0.002876 0.000041
0.967188 0.009576 0.002867 0.000042
0.986532 0.009768 0.002862 0.000042
1.006263 0.009963 0.002778 0.000039
1.026388 0.010162 0.002846 0.000035
1.046916 0.010366 0.002894 0.000035
1.067854 0.010573 0.002797 0.000032
1.089211 0.010784 0.002790 0.000033
1.110995 0.011000 0.002846 0.000030
1.133215 0.011220 0.002890 0.000029
1.155880 0.011444 0.002965 0.000029
1.178997 0.011673 0.002906 0.000030
1.202577 0.011907 0.002831 0.000028
1.226629 0.012145 0.002865 0.000029
1.251161 0.012388 0.002810 0.000028
1.276184 0.012635 0.002817 0.000029
1.301708 0.012888 0.002837 0.000027
1.327742 0.013146 0.002848 0.000028
1.354297 0.013409 0.002936 0.000028
1.381383 0.013677 0.002923 0.000030
1.409011 0.013951 0.002945 0.000029
1.437191 0.014230 0.002930 0.000030
1.465935 0.014514 0.002923 0.000031
1.495253 0.014804 0.002915 0.000031
1.525159 0.015101 0.002807 0.000031
1.555662 0.015403 0.002849 0.000031
1.586775 0.015711 0.002813 0.000032
1.618510 0.016025 0.002857 0.000033
1.650881 0.016345 0.002912 0.000032
1.683898 0.016672 0.002913 0.000032
1.717576 0.017006 0.002897 0.000034
1.751928 0.017346 0.002874 0.000035
1.786966 0.017693 0.002876 0.000040
1.822706 0.018047 0.002843 0.000038
1.859160 0.018408 0.002918 0.000037
1.896343 0.018776 0.002883 0.000040
1.934270 0.019151 0.002910 0.000043
1.972955 0.019534 0.002829 0.000042
2.012414 0.019925 0.002786 0.000043
2.052663 0.020323 0.002885 0.000045
2.093716 0.020730 0.002782 0.000043
2.135590 0.021144 0.002844 0.000047
2.178302 0.021567 0.002890 0.000046
2.221868 0.021999 0.002941 0.000051
2.266305 0.022439 0.002995 0.000049
2.311631 0.022887 0.002967 0.000050
2.357864 0.023345 0.003007 0.000055
2.405021 0.023812 0.002903 0.000056
2.453122 0.024288 0.002976 0.000064
2.502184 0.024774 0.002943 0.000065
2.552228 0.025270 0.002899 0.000067
2.603272 0.025775 0.002873 0.000070
2.655338 0.026290 0.002761 0.000074
2.708445 0.026816 0.002892 0.000085
2.762614 0.027353 0.002911 0.000090
2.817866 0.027900 0.002848 0.000114
