bin_half_width,bin_half_width
0.003438000000000052,0.003438000000000052
0.003438000000000052,0.003438000000000052
0.00343799999999983,0.00343799999999983
0.003438000000000052,0.003438000000000052
0.003438000000000052,0.003438000000000052
0.003438000000000052,0.003438000000000052
0.003438000000000052,0.003438000000000052
0.00343799999999983,0.00343799999999983
0.003438000000000052,0.003438000000000052
0.003438000000000052,0.003438000000000052
0.003438000000000052,0.003438000000000052
0.00343799999999983,0.00343799999999983
0.003438000000000052,0.003438000000000052
0.003438000000000052,0.003438000000000052
0.003438000000000052,0.003438000000000052
0.001719000000000026,0.001719000000000026
0.0033924999999999095,0.0033924999999999095
0.0033924999999999095,0.0033924999999999095
0.0033925000000001315,0.0033925000000001315
0.0033919999999998396,0.0033919999999998396
0.0033920000000000616,0.0033920000000000616
0.0033914999999999917,0.0033914999999999917
0.0033914999999999917,0.0033914999999999917
0.0033914999999999917,0.0033914999999999917
0.0033914999999999917,0.0033914999999999917
0.003391000000000144,0.003391000000000144
0.003390999999999922,0.003390999999999922
0.003390999999999922,0.003390999999999922
0.003390500000000074,0.003390500000000074
0.003390500000000074,0.003390500000000074
0.003390499999999852,0.003390499999999852
0.003390000000000004,0.003390000000000004
0.003390000000000004,0.003390000000000004
0.003390000000000004,0.003390000000000004
0.0033895000000001563,0.0033895000000001563
0.0033894999999999342,0.0033894999999999342
0.0033890000000000864,0.0033890000000000864
0.0033894999999999342,0.0033894999999999342
0.0033885000000000165,0.0033885000000000165
0.0033889999999998643,0.0033889999999998643
0.0033885000000000165,0.0033885000000000165
0.0033880000000001687,0.0033880000000001687
0.0033884999999997945,0.0033884999999997945
0.0033880000000001687,0.0033880000000001687
0.0033874999999998767,0.0033874999999998767
0.0033875000000000988,0.0033875000000000988
0.0033874999999998767,0.0033874999999998767
0.003387000000000029,0.003387000000000029
0.003387000000000029,0.003387000000000029
0.003387000000000029,0.003387000000000029
0.003386499999999959,0.003386499999999959
0.003386000000000111,0.003386000000000111
0.003386499999999959,0.003386499999999959
0.003385999999999889,0.003385999999999889
0.0033855000000000413,0.0033855000000000413
0.0033855000000000413,0.0033855000000000413
0.0033855000000000413,0.0033855000000000413
0.0033849999999999714,0.0033849999999999714
0.0033849999999999714,0.0033849999999999714
0.0033845000000001235,0.0033845000000001235
0.0033844999999999015,0.0033844999999999015
0.0033840000000000536,0.0033840000000000536
0.0033839999999998316,0.0033839999999998316
0.0033840000000000536,0.0033840000000000536
0.0033834999999999837,0.0033834999999999837
0.003383000000000136,0.003383000000000136
0.0033834999999999837,0.0033834999999999837
0.003382499999999844,0.003382499999999844
0.003382500000000066,0.003382500000000066
0.003382500000000066,0.003382500000000066
0.003382500000000066,0.003382500000000066
0.0033814999999999262,0.0033814999999999262
0.003381999999999996,0.003381999999999996
0.0033814999999999262,0.0033814999999999262
0.0033810000000000784,0.0033810000000000784
0.0033810000000000784,0.0033810000000000784
0.0033809999999998563,0.0033809999999998563
0.0033805000000000085,0.0033805000000000085
0.0033799999999999386,0.0033799999999999386
0.0033800000000001607,0.0033800000000001607
0.0033799999999999386,0.0033799999999999386
0.0033795000000000908,0.0033795000000000908
0.0033794999999998687,0.0033794999999998687
0.003379000000000021,0.003379000000000021
0.003379000000000021,0.003379000000000021
0.003378499999999951,0.003378499999999951
0.003378499999999951,0.003378499999999951
0.003378000000000103,0.003378000000000103
0.003378000000000103,0.003378000000000103
0.003377499999999811,0.003377499999999811
0.0033775000000000333,0.0033775000000000333
0.0033769999999999634,0.0033769999999999634
0.0033765000000001155,0.0033765000000001155
0.0033769999999999634,0.0033769999999999634
0.0033760000000000456,0.0033760000000000456
0.0033764999999998935,0.0033764999999998935
0.0033754999999999757,0.0033754999999999757
0.003375500000000198,0.003375500000000198
0.0033754999999999757,0.0033754999999999757
0.003374999999999906,0.003374999999999906
0.003374999999999906,0.003374999999999906
0.003374500000000058,0.003374500000000058
0.003374500000000058,0.003374500000000058
0.003373999999999988,0.003373999999999988
0.0033734999999999182,0.0033734999999999182
0.0033735000000001403,0.0033735000000001403
0.0033734999999999182,0.0033734999999999182
0.0033730000000000704,0.0033730000000000704
0.0033725000000000005,0.0033725000000000005
0.0033725000000000005,0.0033725000000000005
0.0033725000000000005,0.0033725000000000005
0.0033714999999998607,0.0033714999999998607
0.0033720000000001527,0.0033720000000001527
0.003371000000000013,0.003371000000000013
0.0033714999999998607,0.0033714999999998607
0.003370500000000165,0.003370500000000165
0.003370499999999943,0.003370499999999943
0.003370499999999943,0.003370499999999943
0.003370000000000095,0.003370000000000095
0.0033695000000000253,0.0033695000000000253
0.003369499999999803,0.003369499999999803
0.0033695000000000253,0.0033695000000000253
0.0033685000000001075,0.0033685000000001075
0.0033689999999999554,0.0033689999999999554
0.0033680000000000376,0.0033680000000000376
0.0033680000000000376,0.0033680000000000376
0.0033680000000000376,0.0033680000000000376
0.0033674999999999677,0.0033674999999999677
0.003366999999999898,0.003366999999999898
0.00336700000000012,0.00336700000000012
0.003366499999999828,0.003366499999999828
0.00336650000000005,0.00336650000000005
0.00336599999999998,0.00336599999999998
0.0033655000000001323,0.0033655000000001323
0.0033654999999999102,0.0033654999999999102
0.0033650000000000624,0.0033650000000000624
0.0033649999999998403,0.0033649999999998403
0.0033644999999999925,0.0033644999999999925
0.0033640000000001447,0.0033640000000001447
0.0033639999999999226,0.0033639999999999226
0.0033635000000000748,0.0033635000000000748
0.002606499999999956,0.002606499999999956
0.003357999999999972,0.003357999999999972
0.0033575000000001243,0.0033575000000001243
0.0033569999999998323,0.0033569999999998323
0.0033570000000000544,0.0033570000000000544
0.0033570000000000544,0.0033570000000000544
0.0033559999999999146,0.0033559999999999146
0.0033560000000001367,0.0033560000000001367
0.0033559999999999146,0.0033559999999999146
