central_wavelength,transit_depth
2.762926619342213,0.022255678224167377
2.769715119324037,0.02196932329901189
2.7765033565971162,0.02249129212900079
2.7833501600084984,0.022437368277708272
2.7904772664866844,0.022221453912970025
2.797604071059503,0.02243183858719516
2.8043912206839403,0.022274353742855732
2.8111780901860417,0.021923107008135264
2.8179646762312265,0.022170175635106603
2.82475097550672,0.022310836677174886
2.8315369847214455,0.022213323038059146
2.838322700605879,0.022468345572493012
2.8455064338986236,0.02214586232446641
2.8526308113058363,0.0221597736701772
2.859415622082918,0.022034501157185412
2.864504029536947,0.022198532571473514
2.869592262436239,0.02222233704148852
2.8763763008605405,0.021988393055179627
2.88316002484724,0.022079257087534117
2.889943431286291,0.0221219629416252
2.8967265170880045,0.02212370125221783
2.903509279182923,0.022226378202659384
2.9103509877122935,0.022332717946441538
2.917133117522442,0.021684942969148437
2.9239149144801537,0.02180950122484032
2.930696375595694,0.02181819172702894
2.9374774978988443,0.021867819672822024
2.9442582784387517,0.021821559099635592
2.951038714283774,0.02193873668165533
2.957818802521375,0.021989019255680788
2.9645985402579615,0.021893894634632868
2.971377924618711,0.021901626218543174
2.978216453884817,0.021710559738926254
2.9849951466321123,0.02143956025942979
2.9917734774362095,0.021695876553815444
2.998551443496333,0.02172155549102738
3.005329042029781,0.021939411469448115
3.0121062702718087,0.02179228144332515
3.01888312547543,0.021725319776166867
3.0256596049113105,0.021613216390169845
3.032435705867603,0.021568033716116226
3.039211425649823,0.021637332653208646
3.0459867615806715,0.02173036577931021
3.0528214575673447,0.021957775791646317
3.0595960409281107,0.021521473174425144
3.0663702324562614,0.021707045423253832
3.0731440295421324,0.02149802393753083
3.079917429592515,0.02177204322603658
3.0866904300305262,0.02170845351261523
3.093463028295444,0.021734336428561575
3.1002352218425786,0.021314186218022953
3.10700700814308,0.021470910080783657
3.113778384683845,0.021538683666401263
3.120549348967342,0.021723844222980456
3.1273198985114408,0.02135925018824823
3.1340900308493023,0.02147490575519391
3.140919774114928,0.021469122697209103
3.1476890871452046,0.02127671091914744
3.1544579756116082,0.021624671552371386
3.1612264371071586,0.021680626175677654
3.167994469239427,0.02151020504424486
3.1747620696303276,0.02191016536563319
3.1815292359159897,0.021277077189112193
3.1882959657466055,0.021268686740908708
3.1950622567862856,0.021322910856330955
3.2018281067128953,0.021639586527612897
3.2085935132179095,0.021356462059965917
3.215358474006261,0.021635986236116376
3.222122986796183,0.021350480434573826
3.2288870493190336,0.021356598844113527
3.2353124901695853,0.021332665412053586
3.241797867334962,0.021551575291955113
3.2485606331367416,0.021503468262937187
3.25532293990394,0.021289812901863554
3.262084785430484,0.021439878888140345
3.268846167522483,0.02148678677592917
3.275607083998201,0.021242794123783503
3.28236753268777,0.021562583923531303
3.2891275114331453,0.02168690110095228
3.2962249815828573,0.021457237574501995
3.3033219275957384,0.021223226385726286
3.3100804359243936,0.021212688645508015
3.316838465580703,0.021766395322832685
3.3235960144642753,0.021344960746449135
3.3303530804855566,0.021299378081145178
3.3371096615656723,0.021377970524759475
3.3438657556362763,0.021438866073666886
3.3506213606393893,0.021482183724405666
3.3573764745272454,0.021291612991484618
3.3637933765879726,0.021419281177502476
3.370270572205022,0.021518706846569466
3.3770242713669862,0.02119686892423702
3.3837774714853674,0.021315748473614806
3.390530170560508,0.0212639159285207
3.397282366601991,0.021661773712448967
3.4040340576286225,0.021415852077491363
3.4107852416680835,0.021368352677884648
3.4175359167569814,0.021495876244810135
3.424286080940485,0.021506201053032203
3.431035732272347,0.021447600120204066
