Wavelength(microns),Rplanet/Rstar,source_x_pixel,source_y_pixel,pixel_trace_interpolated
2.786804344,0.1454817995,296,334,True
2.788167997,0.1454877997,297,333.5,False
2.78953165,0.1452837909,298,350.5,False
2.790895304,0.145193787,299,358,False
2.792258957,0.1454938,300,333,False
2.79362261,0.1452297886,301,355,False
2.794986264,0.145007779,302,373.5,False
2.796349917,0.1448277712,303,388.5,False
2.79771357,0.1448097704,304,390,False
2.799077224,0.1448097704,305,390,False
2.800440877,0.1447557681,306,394.5,False
2.80180453,0.1458958173,307,299.5,False
2.803168184,0.1462198313,308,272.5,False
2.804531837,0.1462618331,309,269,False
2.80589549,0.1457458109,310,312,False
2.807259144,0.1456858083,311,317,False
2.808622797,0.1455793037,312,325.875,True
2.80998645,0.1454727991,313,334.75,True
2.811350103,0.1453662945,314,343.625,True
2.812713757,0.1452597899,315,352.5,False
2.81407741,0.1454157966,316,339.5,False
2.815441063,0.1454697989,317,335,False
2.816804717,0.1456258057,318,322,False
2.81816837,0.1456738077,319,318,False
2.819532023,0.1455838039,320,325.5,False
2.820895677,0.1455838039,321,325.5,False
2.82225933,0.1451607856,322,360.75,True
2.823622983,0.1447377673,323,396,False
2.824986637,0.1454397976,324,337.5,True
2.82635029,0.146141828,325,279,False
2.827713943,0.146327836,326,263.5,False
2.829077597,0.1453407934,327,345.75,True
2.83044125,0.1443537508,328,428,False
2.831804903,0.1447347672,329,396.25,True
2.833168557,0.1451157837,330,364.5,False
2.83453221,0.1451277842,331,363.5,True
2.835895863,0.1451397847,332,362.5,False
2.837259516,0.1452657901,333,352,False
2.83862317,0.1452657901,334,352,False
2.839986823,0.1454217969,335,339,False
2.841350476,0.1454157966,336,339.5,False
2.84271413,0.1453977958,337,341,False
2.844077783,0.1452057875,338,357,False
2.845441436,0.1452357888,339,354.5,False
2.84680509,0.1451637857,340,360.5,False
2.848168743,0.1450857824,341,367,False
2.849532396,0.1451427848,342,362.25,True
2.85089605,0.1451997873,343,357.5,True
2.852259703,0.1452567897,344,352.75,True
2.853623356,0.1453137922,345,348,False
2.85498701,0.1454397976,346,337.5,False
2.856350663,0.1454757992,347,334.5,False
2.857714316,0.1449957785,348,374.5,True
2.859077969,0.1445157577,349,414.5,False
2.860441623,0.1447677686,350,393.5,False
2.861805276,0.144521758,351,414,False
2.863168929,0.1447097661,352,398.3333333,True
2.864532583,0.1448977742,353,382.6666667,True
2.865896236,0.1450857824,354,367,False
2.867259889,0.1447737689,355,393,False
2.868623543,0.1445757603,356,409.5,False
2.869987196,0.1444917567,357,416.5,False
2.871350849,0.1452267884,358,355.25,True
2.872714503,0.1459618202,359,294,False
2.874078156,0.1458358147,360,304.5,False
2.875441809,0.145286791,361,350.25,True
2.876805463,0.1447377673,362,396,False
2.878169116,0.1447497679,363,395,False
2.879532769,0.1447437676,364,395.5,False
2.880896423,0.1446657642,365,402,True
2.882260076,0.1445877609,366,408.5,True
2.883623729,0.1445097575,367,415,True
2.884987382,0.1444317541,368,421.5,False
2.886351036,0.1444197536,369,422.5,False
2.887714689,0.1444137533,370,423,False
2.889078342,0.1444077531,371,423.5,False
2.890441996,0.1451037831,372,365.5,False
2.891805649,0.1450977829,373,366,False
2.893169302,0.1450797821,374,367.5,True
2.894532956,0.1450617813,375,369,True
2.895896609,0.1450437805,376,370.5,True
2.897260262,0.1450257798,377,372,True
2.898623916,0.145007779,378,373.5,True
2.899987569,0.1449897782,379,375,False
2.901351222,0.1449657772,380,377,False
2.902714876,0.1445577596,381,411,False
2.904078529,0.1443177492,382,431,False
2.905442182,0.1451217839,383,364,False
2.906805836,0.1452297886,384,355,True
2.908169489,0.1453377932,385,346,False
2.909533142,0.1453377932,386,346,False
2.910896795,0.1444437546,387,420.5,False
2.912260449,0.1441797432,388,442.5,False
2.913624102,0.1441377414,389,446,False
2.914987755,0.1440837391,390,450.5,False
2.916351409,0.1439697342,391,460,False
2.917715062,0.144011736,392,456.5,False
2.919078715,0.1442097445,393,440,False
2.920442369,0.1442517463,394,436.5,False
2.921806022,0.14433575,395,429.5,False
2.923169675,0.1443117489,396,431.5,False
2.924533329,0.1444197536,397,422.5,False
2.925896982,0.1434897135,398,500,False
2.927260635,0.1435137145,399,498,False
2.928624289,0.1442037443,400,440.5,False
2.929987942,0.1449477764,401,378.5,False
2.931351595,0.1445697601,402,410,True
2.932715249,0.1441917438,403,441.5,True
2.934078902,0.1438137274,404,473,True
2.935442555,0.1434357111,405,504.5,False
2.936806208,0.1434357111,406,504.5,False
2.938169862,0.1438197277,407,472.5,False
2.939533515,0.1438197277,408,472.5,False
2.940897168,0.1438577293,409,469.3333333,True
2.942260822,0.143895731,410,466.1666667,True
2.943624475,0.1439337326,411,463,False
2.944988128,0.143825728,412,472,False
2.946351782,0.144707766,413,398.5,False
2.947715435,0.1447977699,414,391,False
2.949079088,0.144545759,415,412,False
2.950442742,0.144197744,416,441,False
2.951806395,0.1443327498,417,429.75,True
2.953170048,0.1444677557,418,418.5,False
2.954533702,0.1444557552,419,419.5,False
2.955897355,0.1443057487,420,432,False
2.957261008,0.1444257539,421,422,True
2.958624661,0.144545759,422,412,False
2.959988315,0.1445937611,423,408,False
2.961351968,0.1444707558,424,418.25,True
2.962715621,0.1443477505,425,428.5,False
2.964079275,0.1443477505,426,428.5,False
2.965442928,0.1434417114,427,504,False
2.966806581,0.14433575,428,429.5,False
2.968170235,0.1443537508,429,428,False
2.969533888,0.1443237495,430,430.5,False
2.970897541,0.1443417502,431,429,False
2.972261195,0.1442682471,432,435.125,True
2.973624848,0.1441947439,433,441.25,True
2.974988501,0.1441212407,434,447.375,True
2.976352155,0.1440477375,435,453.5,False
2.977715808,0.1439997355,436,457.5,False
2.979079461,0.1439217321,437,464,False
2.980443115,0.1439697342,438,460,True
