species,log_pressure_central_bar,log_pressure_lower_bound_bar,log_pressure_upper_bound_bar,minus_error_dex,plus_error_dex
SO2,-3.000,-3.500,-2.500,0.500,0.500
CH4,-2.600,-3.100,-2.100,0.500,0.500
