Wavelength_center(microns),Wavelength_half_width(microns),Rplanet/Rstar,Rplanet/Rstar_error
2.735508981003471,0.0016996732873741927,0.1461455651896614,0.0015226399051146507
2.7389082731832226,0.0016996279353787003,0.1450805801651321,0.0013833432003980252
2.7423074745219957,0.0016995824692283001,0.14538779363978593,0.001264882461518176
2.7457065847914857,0.0016995368889243245,0.14543006159272115,0.0012093279281665465
2.7491056037633808,0.0016994911944661073,0.146608929729884,0.0011039396630903085
2.7525045312093743,0.0016994453858534264,0.14409197986945269,0.0010077954542780613
2.755903366901158,0.0016993994630862819,0.14435469298267675,0.001013564941771211
2.759302110610423,0.0016993534261655618,0.14611522571500185,0.0008528597811367802
2.76270076210886,0.0016993072750901561,0.1458951354626895,0.000826872544337245
2.7660993211681624,0.0016992610098607308,0.14642170490427714,0.0008403682979076231
2.7694977875600206,0.001699214630477064,0.14668603296366187,0.000677637203383598
2.772896161056126,0.0016991681369391554,0.1455009841630768,0.000676464087395284
2.77629444142817,0.0016991215292465611,0.1455949546865232,0.0006475602226375943
2.7796926284478447,0.0016990748074003914,0.14620300389720428,0.0006138963022178011
2.783090721886842,0.001699027971399536,0.1447408328738788,0.0006113544489317772
2.786488721516853,0.0016989810212453271,0.14616200719814884,0.0005922499393980724
2.7898866271095693,0.0016989339569357664,0.14621052192502892,0.0005696445069856283
2.793284438436683,0.0016988867784728523,0.1463107136489903,0.0005322722009609063
2.7966821552698833,0.0016988394858554745,0.145615655265817,0.0005200887560516742
2.800079777380865,0.001698792079083411,0.14531335727832145,0.0004888562032782769
2.803477304541318,0.001698744558157772,0.14538063126034054,0.0004958603830758667
2.806874736522934,0.0016986969230772253,0.14504202776620895,0.00048416458955862103
2.8102720730974045,0.001698649173843103,0.14487875005050066,0.000451300493713308
2.813669314036422,0.0016986013104545172,0.14593668834255685,0.00046360763435704334
2.8170664591116763,0.0016985533329119118,0.14500430725648045,0.0004589075284823439
2.82046350809486,0.0016985052412146207,0.1460410256901806,0.0004360792457124235
2.823860460757665,0.001698457035363532,0.14526844162512859,0.00042398202383392577
2.827257316871783,0.0016984087153577576,0.14530879428762733,0.00041746332929486224
2.830654076208903,0.0016983602811986298,0.14481523397118803,0.0004235718688100947
2.8340507385407205,0.0016983117328841502,0.14573248886610593,0.0004312383952715792
2.837447303638925,0.001698263070416317,0.1460073302122344,0.00040307042002884477
2.840843771275208,0.0016982142937935762,0.1447901336831719,0.0004066697667049906
2.844240141221261,0.00169816540301726,0.14459605148034987,0.0004029866767400479
2.847636413248775,0.001698116398086702,0.1456973348931364,0.0003826731190583056
2.8510325871294437,0.0016980672790016804,0.14493928130173073,0.00040657722063132433
2.854428662634956,0.0016980180457619731,0.14594743161986923,0.0003899368913607949
2.8578246395370055,0.0016979686983693565,0.1449977993389242,0.00039255334939561766
2.861220517607283,0.0016979192368207219,0.14405437520057912,0.0003771116506650093
2.86461629661748,0.0016978696611194,0.14467868102118203,0.00038532948442442593
2.868011976339289,0.0016978199712631703,0.1454718795553394,0.0003671832490031926
2.871407556544399,0.001697770167252921,0.14523105281324322,0.0003868499830119365
2.8748030370045043,0.0016977202490882082,0.1443632356309963,0.0004060741170490683
2.8781984174912956,0.0016976702167694757,0.1441650368395226,0.0003757564315556906
2.8815936977764633,0.0016976200702965016,0.14433663067083555,0.00037550604682820636
2.8849888776317014,0.00169756980966973,0.1438829702070164,0.0003730197566649723
2.8883839568286995,0.0016975194348873845,0.14482289731560036,0.00038838050940230817
2.8917789351391483,0.0016974689459523518,0.14450342595886012,0.0003766434343743258
2.8951738123347424,0.0016974183428621892,0.1436616392064663,0.000409446360595511
2.898568588187172,0.001697367625618229,0.14411062465487112,0.00037815994917040664
2.9019632624681266,0.0016973167942200273,0.1439159126700723,0.0003899721699995052
2.905357834949301,0.00169726584866714,0.14470872529263734,0.0003603810025610942
2.9087523054023845,0.001697214788960677,0.14470051941908318,0.0003803928100243031
2.9155409393110467,0.0016971123270843602,0.14328436637735267,0.00036911726653642116
2.9189351023100105,0.0016970609249149504,0.14471493096771043,0.00036131659140428143
2.9223291623676486,0.001697009408591299,0.1450231565814723,0.00037480135325639746
2.9257231192556556,0.001696957778113628,0.1438832636096783,0.00035086926213297116
2.929116972745721,0.0016969060334817154,0.14457664750331467,0.0003546660166177831
2.9325107226095373,0.0016968541746951171,0.144310216576093,0.00036778801150473236
2.935904368618796,0.0016968022017544993,0.14399687590140195,0.0003545862809617136
2.939297910545188,0.0016967501146598618,0.14448573823470162,0.0003549718157103178
2.942691348160406,0.0016966979134105387,0.14438249753395108,0.00036084523465878946
2.9460846812361408,0.0016966455980083062,0.1443325800865414,0.00034989606314548606
2.949477909544085,0.0016965931684498337,0.14363268604442822,0.00035802099400168133
2.9528710328559287,0.001696540624739118,0.14399549420025076,0.00035801241444298026
2.956264050943364,0.0016964879668726063,0.14385562513458783,0.0003448299846630519
2.9596569635780825,0.0016964351948527412,0.1441463494597608,0.0003277877706710826
2.963049770531776,0.0016963823086781904,0.14384671881438693,0.0003419297978577957
2.9664424715761366,0.0016963293083502862,0.14383295328291837,0.00034263166789603116
2.9698350664828532,0.0016962761938676962,0.14472490421569822,0.0003449731301408622
2.973227555023621,0.0016962229652299765,0.14414086827444533,0.0003466532765215004
2.976619936970129,0.0016961696224391254,0.14363408160234503,0.0003501660372245766
2.9800122120940697,0.0016961161654940327,0.14427552175096658,0.0003414997708841383
2.9834043801671357,0.0016960625943938101,0.14375754592084014,0.000378887759173539
2.986796440961016,0.0016960089091406783,0.1438586251301897,0.00033889436084092204
2.990188394247404,0.0016959551097324166,0.14341684114967632,0.0003244522756452294
2.9935802397979905,0.0016959011961696913,0.14369226772097962,0.00034492644307017296
2.9969719773844683,0.0016958471684536125,0.14414666551677427,0.0003977776092563948
3.0003636067785275,0.001695793026582626,0.1444906196295942,0.0003468046247647139
3.00375512775186,0.001695738770558064,0.14392218971105677,0.00033173836583046617
3.0071465400761577,0.0016956844003788163,0.14395209686577443,0.0003313983062291521
3.010537843523112,0.001695629916045105,0.14352871793285282,0.0003375558084153541
3.0139290378644152,0.0016955753175580401,0.14374968555781614,0.0003337885117473244
3.017320122871758,0.0016955206049160676,0.14442249049391673,0.00033710522327570454
3.020711098316831,0.0016954657781196314,0.1443715475173436,0.0003208448868350555
3.0241019639713285,0.0016954108371700638,0.14308932687784756,0.0003346204510291087
3.027492719606939,0.0016953557820649223,0.14336061526165003,0.00033643684152611275
3.030883364995356,0.0016953006128068715,0.14488683516429868,0.0003325956553061576
3.0342738999082703,0.0016952453293932468,0.14428187524206054,0.0003442255193751306
3.0376643241173733,0.0016951899318264907,0.1430836426524029,0.00032511853640470315
3.0410546373943586,0.001695134420105493,0.14381394141733816,0.000347969242547913
3.044444839510915,0.0016950787942293655,0.14459257529037586,0.0003315323014266453
3.0478349302387353,0.0016950230541996625,0.14351215745290394,0.00032310709981162977
3.051224909349511,0.0016949672000157179,0.14404913537604835,0.000329917575261415
3.0546147766149336,0.0016949112316773096,0.1443843247021272,0.0003319612730441464
3.0580045318066946,0.0016948551491853259,0.14375907635563648,0.00035516682062215044
3.061394174696486,0.0016947989525384344,0.14396193245792843,0.00033097296741289883
