1.115	0.015	0.09413e-2	0.00597e-2
1.145	0.015	0.10033e-2	0.00283e-2
1.175	0.015	0.09396e-2	0.00245e-2
1.205	0.015	0.09455e-2	0.00234e-2
1.235	0.015	0.09877e-2	0.00224e-2
1.265	0.015	0.09657e-2	0.00188e-2
1.295	0.015	0.0921e-2	0.00223e-2
1.325	0.015	0.09987e-2	0.00203e-2
1.355	0.015	0.10189e-2	0.00221e-2
1.385	0.015	0.09868e-2	0.00219e-2
1.415	0.015	0.10154e-2	0.00212e-2
1.445	0.015	0.09604e-2	0.00221e-2
1.475	0.015	0.09825e-2	0.0023e-2
1.505	0.015	0.09922e-2	0.00225e-2
1.535	0.015	0.09538e-2	0.00213e-2
1.565	0.015	0.09353e-2	0.00228e-2
1.595	0.015	0.09193e-2	0.00235e-2
1.625	0.015	0.0944e-2	0.00191e-2
1.655	0.015	0.09412e-2	0.00219e-2
