instrname,reference,bandpass,iwave,wave,waveMin,waveMax,xMin,xMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink
NIRSPEC_PRISM,ExoTEP,uniform,0,0.6925454139709473,0.6767441034317017,0.7083467245101929,0,0,15686.226007172987,370.4221189262744,353.9339907460392,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,1,0.7224600911140442,0.7083467245101929,0.7365734577178955,0,0,15527.271827626922,192.8311908087817,195.0025203239124,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,2,0.752198338508606,0.7365734577178955,0.7678232192993164,0,0,15375.106536383031,153.17484760380432,152.22989413422027,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,3,0.7851698398590088,0.7678232192993164,0.8025164604187012,0,0,15362.228095188635,151.05531564779224,149.10113686964723,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,4,0.8167900443077087,0.8025164604187012,0.8310636281967163,0,0,15198.276296999144,129.2291031635615,131.47992096421945,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,5,0.8465229272842407,0.8310636281967163,0.8619822263717651,0,0,15627.212831262948,129.19911453065765,126.0299959548864,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,6,0.8787252902984619,0.8619822263717651,0.8954683542251587,0,0,15325.559565525595,112.30612474834795,113.53672003402889,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,7,0.9135833382606506,0.8954683542251587,0.9316983222961426,0,0,15203.844797612503,98.1263761330944,96.15552531443525,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,8,0.9512541592121124,0.9316983222961426,0.9708099961280823,0,0,15486.999244916917,85.48148747129353,87.06623587847511,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,9,0.9918531477451324,0.9708099961280823,1.0128962993621826,0,0,15354.00349969408,76.34635235457529,78.36218589515242,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,10,1.0354331731796265,1.0128962993621826,1.0579700469970703,0,0,15342.666470406222,71.80531650149686,71.46846453388811,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,14,1.2377328872680664,1.2100132703781128,1.26545250415802,0,0,15302.366080906382,104.22532729273958,106.54033688394225,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,15,1.2940533757209778,1.26545250415802,1.3226542472839355,0,0,15339.143088091312,114.96086782732029,111.18607625938998,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,22,1.7105879187583923,1.6809229850769043,1.7402528524398804,0,0,12642.44243749713,100.27635251156389,101.23420002974804,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,23,1.7792802453041077,1.7402528524398804,1.818307638168335,0,0,15292.592973377585,57.06196538805223,55.248241006891554,0.0,0.0,0,none
NIRSPEC_PRISM,ExoTEP,uniform,24,1.8566349744796753,1.818307638168335,1.8949623107910156,0,0,15105.70709586683,61.86796569152529,61.19534362764282,0.0,0.0,0,none
