0,1,2,3,4,8,9
2.144787882990639272e+00,5.742091150839271450e+02,-3.171309701628977629e-01,-9.521137729622827228e-01,-2.576314689879767528e+00,-3.873830912702819873e+00,-4.363173920720601728e+00
2.154396177009471725e+00,6.268953623595031104e+02,-2.284616696501140520e-01,-1.316321840398149146e+00,-5.206940463003432384e+00,-2.486476158813315074e+00,-2.227540228448437798e+00
2.147756778813644463e+00,5.541768378549504632e+02,-3.717602132518804670e-01,-1.891240272166702985e+00,-7.506960087750083055e+00,-1.798901048433008576e+00,-2.898317434982147667e+00
2.164878840911881319e+00,5.323054810587395878e+02,-4.507817582129552414e-01,-2.125136574672197742e+00,-5.992716389657653409e+00,-9.603157817735452628e-01,-2.988765166193770639e+00
2.179857517450071391e+00,6.694535621944733066e+02,-2.890311526170611600e+00,-3.065634178659430109e+00,-1.051282516901697939e+01,-3.647677412398728780e-01,-3.519472345346019271e+00
2.147215511386111775e+00,4.683131132808975963e+02,-4.733464765961399867e-01,-1.937385367499529165e+00,-5.725992175720698185e+00,-4.531754952788444868e+00,-3.118812114966948990e+00
2.141434300584831973e+00,5.140779253474374855e+02,-4.500658475977986628e-01,-1.846230019938534861e+00,-4.678765364580809383e+00,-5.590440585258519057e+00,-5.585532629235094859e+00
2.144055516721991239e+00,5.993054610833870584e+02,-3.101317058209172584e-01,-2.203121992374418525e+00,-2.641023348540295412e+00,-7.457643563207394521e+00,-4.735112935086430497e+00
2.150712944318495801e+00,5.007575483083323888e+02,-9.109023468811243696e-01,-1.330870426039466370e+00,-5.076686576479842117e+00,-5.008544479647924597e+00,-3.224138826199462127e+00
2.167769458516450420e+00,4.918959048195371224e+02,-1.743042496385119655e+00,-2.365777295834187388e+00,-6.039520429349921393e+00,-4.261873541198600179e+00,-1.089204781928901467e+00
2.167290759911970177e+00,4.977539417049347890e+02,-2.703870723841219625e+00,-2.420753470269040974e+00,-7.906143345179032167e+00,-7.748917241207511353e+00,-1.022761915120168563e+00
2.113128799313208184e+00,6.976875853381089883e+02,-3.799154904094974583e-01,-1.689204783322870718e+00,-2.134191726651501586e+00,-4.133640459362764474e+00,-4.559177702552344336e+00
2.140225674455258797e+00,6.429280080176616821e+02,-5.128318965012961250e-01,-2.013023044386572202e+00,-3.650115954214402159e+00,-8.890394755833361806e-01,-2.772012624074049914e+00
2.131838950405816391e+00,5.418934477706379766e+02,-5.280119372913006925e-01,-9.227834218589175963e-01,-2.505302126481427027e+00,-2.240564225270407661e+00,-1.099388834701954742e+01
2.150676123434571707e+00,6.070476190005986155e+02,-4.045185407420867074e-01,-1.699850246025799150e+00,-4.885030111847345147e+00,-8.307068281086744221e+00,-1.449339120358304589e+00
2.159293024504606251e+00,4.858832167437876137e+02,-3.439027497413008616e-01,-1.398484024660536118e+00,-3.085795632253060194e+00,-5.258363093737243865e+00,-4.127890281647744963e+00
2.149264633427928395e+00,5.060436238159635991e+02,-3.835678632149195910e-01,-1.849242878386306188e+00,-2.691601313547149488e+00,-7.744660145457829437e+00,-7.208592121305416711e+00
2.131395471056980018e+00,6.514258839340917575e+02,-3.115900192705044480e-01,-2.009020983797937365e+00,-2.745273841248980329e+00,-6.134402005825775106e+00,-2.646605002119186256e+00
2.154692334566291834e+00,4.520228081945031136e+02,-5.023280240508178895e-01,-1.579787392628022813e+00,-8.933377747982067518e+00,-4.049689133312388556e+00,-2.034756686189844288e+00
2.144596689113536403e+00,6.159315636424389595e+02,-4.280623840712213246e-01,-8.882115637932870289e-01,-3.262127904925095745e+00,-2.973588433395787156e+00,-1.561640302112584200e+00
2.162798463377851199e+00,3.798906862861598484e+02,-7.575504206372314364e-01,-2.153571270170247409e+00,-7.319401069824063022e+00,-2.733600224030464876e+00,-1.578906240396817928e+00
2.145742640676108870e+00,5.169604041618633801e+02,-4.237378380413067136e-01,-1.807948818034700089e+00,-3.418893704897220776e+00,-3.671886858514883833e+00,-7.346557140190326685e+00
2.158634803482438524e+00,4.062569082267094700e+02,-5.503557720186815772e-01,-2.064501210443849377e+00,-4.519367510888834261e+00,-4.655077439092898395e+00,-2.804574635727368648e+00
2.150960067549210653e+00,4.695897177766589721e+02,-4.218385602272302082e-01,-1.204289653633728641e+00,-3.603677896110229373e+00,-5.875983551014622108e+00,-3.370591387434081820e+00
2.158498468221726085e+00,3.794234801754442969e+02,-1.613468798409812388e+00,-2.187444445265806170e+00,-7.668585383832729363e+00,-9.401760144559323518e-01,-2.416468825970088385e+00
2.151740710442289206e+00,6.340190612268047516e+02,-9.183360767291782745e-01,-1.762814144117494930e+00,-1.050716825065900473e+01,-8.167414165677058691e+00,-1.008575400473700201e+00
2.142065395014063345e+00,6.465836325176491073e+02,-2.678876609014368970e-01,-1.703504613524753575e+00,-5.411420259926011944e+00,-9.704077466379150252e+00,-2.176071828436294542e+00
2.150843981438487873e+00,5.559724249725435357e+02,-3.498908470799506620e-01,-2.294755092643251615e+00,-3.855514847113306498e+00,-6.849879977671743170e+00,-1.094588771601599575e+01
2.171095083151913574e+00,4.553632921581423147e+02,-1.792081087597005240e+00,-1.596762375829070990e+00,-3.979849392016668652e+00,-7.025522530680316180e+00,-1.005400756113540961e+00
2.142786251900328676e+00,4.093292615511416557e+02,-7.618004643265696707e-01,-1.458025861870740236e+00,-1.514626808528328761e+00,-5.716205841859003378e+00,-7.244075288795902345e+00
2.155162271671812846e+00,4.931932618459787250e+02,-3.894780839447993803e-01,-1.196224771451591895e+00,-2.599070532898622776e+00,-6.136431123844461766e+00,-2.246404146478024000e+00
2.152307422621512423e+00,5.152310587252643472e+02,-3.986205820150934276e-01,-1.960787026304692038e+00,-6.924463039111645735e+00,-2.039692926225557201e+00,-3.095015895085449831e+00
2.149702857335333839e+00,4.687836161133704422e+02,-4.763395813032603732e-01,-2.222610539555596176e+00,-3.842202173594887249e+00,-7.177282308645489550e+00,-6.950064278117029204e+00
