params,PMN_runtime,SBI_runtime
1,0.2210,0.2330
2,0.2500,0.2420
3,0.3100,0.2650
4,0.4400,0.3010
5,0.6800,0.3450
6,0.9900,0.4200
7,1.5200,0.5250
8,2.3100,0.6850
9,3.8500,0.8800
10,6.1000,1.1500
11,9.8000,1.5400
12,15.9000,2.0800
13,26.0000,2.9000
14,41.2051,3.9565
15,65.3436,5.4235
16,103.6640,7.4602
17,164.4986,10.2880
18,261.0749,14.2143
19,414.3921,19.6657
20,657.7869,27.2345
