0.859397 0.008594 0.00142 4.95e-05
0.876758 0.0087675 0.001577 4.75e-05
0.894471 0.0089445 0.001621 4.5e-05
0.912541 0.0091255 0.001526 4.15e-05
0.930976 0.00931 0.001469 4e-05
0.949783 0.009498 0.00148 4e-05
0.968971 0.0096895 0.001485 3.8e-05
0.988546 0.0098855 0.001423 3.85e-05
1.008517 0.010085 0.001502 3.5e-05
1.028891 0.010289 0.001436 3.2e-05
1.049676 0.010497 0.001515 3.3e-05
1.070882 0.010709 0.001527 3.15e-05
1.092516 0.010925 0.001478 3.0500000000000003e-05
1.114587 0.011146 0.001394 3e-05
1.137104 0.011371 0.001458 3e-05
1.160076 0.011601 0.001435 2.8e-05
1.183512 0.011835 0.001432 2.9e-05
1.207421 0.012074 0.001417 2.85e-05
1.231813 0.012318 0.001455 2.9e-05
1.256698 0.012567 0.001458 2.7499999999999998e-05
1.282086 0.012821 0.001449 2.9e-05
1.307987 0.01308 0.001432 3e-05
1.334411 0.013344 0.001448 2.9e-05
1.361369 0.0136135 0.00145 2.7e-05
1.388871 0.0138885 0.001426 2.8e-05
1.416929 0.0141695 0.001459 2.7e-05
1.445554 0.0144555 0.001475 2.85e-05
1.474757 0.0147475 0.001438 2.8e-05
1.50455 0.0150455 0.001456 3.0500000000000003e-05
1.534945 0.0153495 0.001435 2.95e-05
1.565954 0.0156595 0.001455 3.15e-05
1.59759 0.015976 0.001462 2.8e-05
1.629864 0.0162985 0.001445 3.0500000000000003e-05
1.662791 0.016628 0.001468 3e-05
1.696382 0.016964 0.001457 3e-05
1.730653 0.0173065 0.001381 3.0500000000000003e-05
1.765615 0.017656 0.001414 3.2e-05
1.801284 0.018013 0.001427 3.45e-05
1.837674 0.0183765 0.001443 3.2e-05
1.874799 0.018748 0.001427 3.4e-05
1.912674 0.0191265 0.001452 3.5499999999999996e-05
1.951313 0.019513 0.001485 3.5e-05
1.990734 0.0199075 0.001507 3.65e-05
2.030951 0.0203095 0.00156 3.85e-05
2.07198 0.02072 0.001425 3.95e-05
2.113838 0.0211385 0.001417 4.1e-05
2.156542 0.0215655 0.001453 4.1e-05
2.200109 0.022001 0.001486 4.15e-05
2.244555 0.0224455 0.001393 4.35e-05
2.2899 0.022899 0.001441 4.55e-05
2.33616 0.0233615 0.001362 4.45e-05
2.383355 0.0238335 0.001465 4.85e-05
2.431504 0.024315 0.001406 4.75e-05
2.480625 0.0248065 0.001436 5.3e-05
2.530739 0.0253075 0.001549 5.6e-05
2.581865 0.0258185 0.00146 5.7e-05
2.634024 0.02634 0.001407 5.9499999999999996e-05
2.687237 0.0268725 0.001337 6.05e-05
2.741524 0.027415 0.001467 6.45e-05
2.796908 0.027969 0.001485 7e-05
2.826638 0.00176 0.001442 0.0001155
