instrname,reference,bandpass,iwave,wave,waveMin,waveMax,xMin,xMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink
NIRSPEC_G395H_NRS2,ExoTEP,uniform,0,3.836778163909912,3.8233466,3.8502097,0,0,3504.4285,47.4514,47.4514,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,1,3.8636362552642822,3.8502097,3.8770628,0,0,3439.5232,43.7459,43.7459,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,2,3.890819549560547,3.8770628,3.9045763,0,0,3389.2132,45.9665,45.9665,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,3,3.917992115020752,3.9045763,3.9314077,0,0,3437.5579,48.839,48.839,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,4,3.9448184967041016,3.9314077,3.958229,0,0,3568.2212,48.1275,48.1275,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,5,3.9719696044921875,3.958229,3.98571,0,0,3483.6864,49.4041,49.4041,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,6,3.9990787506103516,3.98571,4.0124474,0,0,3454.2789,50.7319,50.7319,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,7,4.02584171295166,4.0124474,4.0392365,0,0,3501.144,51.3612,51.3612,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,8,4.052960395812988,4.0392365,4.0666847,0,0,3622.7897,52.3208,52.3208,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,9,4.080068111419678,4.0666847,4.0934515,0,0,3469.2158,50.8581,50.8581,0.0,0.0,0,none
NIRSPEC_G395H_NRS2,ExoTEP,uniform,10,4.10716438293457,4.0934515,4.1208773,0,0,3447.4723,55.2537,55.2537,0.0,0.0,0,none
