wave,wave_err,dppm,dppm_err
0.8633554351822527,0.008633554351822559,1551.5688808019806,50.606296767648566
0.8807969591253285,0.008807969591253295,1668.5568893434493,56.44231701124741
0.8985908370874565,0.00898590837087454,1669.3630133046354,49.14952307460041
0.9167441873316475,0.009167441873316529,1543.6581647160597,45.36994880811429
0.935264271924206,0.009352642719242077,1552.3128308137875,47.14281978730078
0.9541584996398466,0.009541584996398456,1548.3412816181747,41.782672721950604
0.9734344289255,0.009734344289255015,1558.4060435645388,42.77771202651319
0.993099770923995,0.009930997709239886,1523.6685101533194,40.02364521973824
1.0131623925588231,0.010131623925588196,1552.7187585483596,35.94485200788134
1.0336303196812235,0.010336303196812224,1518.078407777251,36.680352658305644
1.0545117402808442,0.01054511740280839,1551.105267325077,34.68848030744936
1.0758150077612654,0.010758150077612605,1594.9397963401843,35.48108067684625
1.0975486442816949,0.010975486442816873,1498.659738367918,32.40670002456437
1.1197213441661735,0.011197213441661802,1464.4182388644847,31.570444142608622
1.1423419773816519,0.011423419773816557,1548.0935116377125,30.42480267430531
1.1654195930863316,0.011654195930863143,1514.1578155947095,29.15606938465017
1.188963423249692,0.011889634232496782,1512.9206728494569,30.356682373433845
1.212982886345645,0.012129828863456371,1482.016648780999,28.796757228841464
1.237487591120305,0.01237487591120301,1486.634320917726,29.5275973954995
1.2624873404358667,0.012624873404358805,1544.3659533895188,29.08929797014112
1.2879921351921468,0.012879921351921286,1513.972403935878,28.675717529191804
1.3140121783273415,0.013140121783273395,1508.9758229874164,31.446508100636514
1.3405578788996109,0.013405578788995953,1512.7546279289081,29.804109130768037
1.3676398562511183,0.013676398562511238,1507.4698168329144,29.643846247859752
1.3952689442561914,0.013952689442561894,1501.651391725197,28.602604934947806
1.4234561956553065,0.014234561956552927,1529.3061916957797,28.536139828433782
1.4522128864766257,0.014522128864766337,1525.451210601188,29.80902937865684
1.4815505205468604,0.014815505205468593,1512.0561220143431,29.187451818183526
1.5114808340932617,0.015114808340932484,1523.538567008663,29.220093881599702
1.54201580043858,0.015420158004385787,1523.4937491394362,31.296479982008233
1.5731676347908745,0.01573167634790873,1516.0477701960106,28.458886843583247
1.6049487991300841,0.016049487991300904,1506.1887827984976,31.01836919975091
1.637372007193318,0.016373720071933162,1498.8148737196543,31.85288803926492
1.6704502295608599,0.016704502295608492,1537.3970922135109,31.049419303113506
1.7041966988449175,0.017041966988449175,1501.6216630168828,30.99241008660907
1.7386249149831987,0.017386249149832,1477.8287351419415,33.045477380537
1.7737486506394249,0.017737486506394173,1490.214387025852,32.77869544135817
1.8095819567129487,0.018095819567129467,1500.3947674732474,35.71989021975992
1.846139167959675,0.018461391679596595,1542.171980882009,34.761353983741316
1.883434908726537,0.018834349087265334,1545.0121616328952,34.88662520798611
1.9214840988018205,0.019214840988018178,1548.495212903181,34.84375904135462
1.9603019593836755,0.019603019593836812,1577.9210184575845,42.07669188565125
1.9999040191692043,0.019999040191692075,1560.4712564357044,38.67348004231875
2.0403061205665622,0.020403061205665374,1620.7466656879621,40.14745605140989
2.081524426032553,0.02081524426032555,1495.4183690076063,45.16148306686553
2.123575424538261,0.021235754245382488,1501.2207821567451,42.81280289336478
2.1664759381652967,0.02166475938165302,1493.8241849567858,45.21978273276553
2.2102431288353026,0.022102431288352875,1443.2923954801684,45.64708729128466
2.2548945051754097,0.0225489450517542,1545.9523876852384,47.7892456691466
2.3004479295223876,0.023004479295223756,1516.6482766423796,47.176112264666216
2.346921625068294,0.023469216250682656,1507.7222018791274,53.18444614680067
2.394334183150482,0.023943341831504927,1512.8246914787644,58.11340908014524
2.4427045706888757,0.024427045706888695,1513.052549851788,58.776099676589865
2.4920521377734994,0.02492052137773504,1544.4634408506072,68.23752682020212
2.542396625405287,0.025423966254052743,1609.4424914714996,66.19795095634909
2.5937581733932724,0.025937581733932902,1546.2723723141428,72.84490684572077
2.6461573284113182,0.026461573284112916,1396.074315851202,78.81965563862298
2.6996150522176077,0.026996150522176077,1433.5642478085574,77.40563167792416
2.7541527300401856,0.027541527300401825,1608.2062706153934,94.83871274943378
2.8025954505882855,0.020901193247698124,1504.1865361802852,103.02288303840686
