iwave,wave,waveMin,waveMax,yval,yerrLow,yerrUpp,wlcLow,wlcUpp,ignore,referenceLink,instrname,reference,bandpass
0,3.838740825653076,3.819603681564331,3.857877969741821,764.5098681027273,32.584353222549154,33.06003114626866,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
1,3.876973986625672,3.857877969741821,3.8960700035095215,798.4130513445526,27.819206417642658,28.22825674921065,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
2,3.915857672691345,3.8960700035095215,3.935645341873169,798.3886435635302,26.74306970134437,27.145760601576846,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
3,3.955086827278137,3.935645341873169,3.9745283126831055,775.3893005761579,27.42265357371464,27.035632893454295,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
4,3.994628429412842,3.9745283126831055,4.014728546142578,818.8063500014114,27.22094985634705,28.45921332371217,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
5,4.034816741943359,4.014728546142578,4.054904937744141,806.2301893901813,27.63144629174255,28.41705359707726,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
6,4.074980974197388,4.054904937744141,4.095057010650635,840.5617723684974,28.29349979972874,27.652136531412374,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
7,4.115423202514648,4.095057010650635,4.135789394378662,774.6208175743843,28.921787739213997,30.538702340901157,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
8,4.156507730484009,4.135789394378662,4.177226066589356,741.7006204828289,27.82337983061353,27.8910899620009,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
9,4.198264360427856,4.177226066589356,4.219302654266357,787.9918682944156,28.491755425305517,28.48202469962913,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
10,4.240326642990112,4.219302654266357,4.261350631713867,808.0845737497953,28.894719072838257,29.394234874285388,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
11,4.28266167640686,4.261350631713867,4.3039727210998535,774.4771053350273,36.9935543126147,36.058714588898006,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
12,4.32563328742981,4.3039727210998535,4.347293853759766,779.1093808973505,32.87346338308915,33.51979542911542,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
13,4.368905782699585,4.347293853759766,4.390517711639404,817.9975589772097,33.438903878720645,32.97940238731379,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
14,4.412477016448975,4.390517711639404,4.434436321258545,790.9261029166527,36.15340728370285,36.844795682091075,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
15,4.456678867340088,4.434436321258545,4.478921413421631,797.3175218241554,37.35812260233562,38.23518331456095,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
16,4.501177549362183,4.478921413421631,4.523433685302734,772.3520680989603,36.814002974408226,37.894539331377125,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
17,4.545970916748047,4.523433685302734,4.568508148193359,905.424556042304,41.57513516048805,41.13671511147637,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
18,4.591356992721558,4.568508148193359,4.614205837249756,778.3245798326013,40.53690305683462,42.35121980481957,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
19,4.637365579605103,4.614205837249756,4.660525321960449,807.8002476248599,38.39742342956221,39.22728623837671,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
20,4.684026002883911,4.660525321960449,4.707526683807373,784.5016697821054,40.41420099154111,41.379857803615735,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
21,4.730972051620483,4.707526683807373,4.754417419433594,807.2145400693892,39.665266156088606,42.06841309237999,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
22,4.77816915512085,4.754417419433594,4.8019208908081055,792.8918880275755,42.721968478464966,42.34693263784326,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
23,4.825977087020874,4.8019208908081055,4.850033283233643,804.8905593700254,48.50000015119343,46.95857154867052,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
24,4.874063014984131,4.850033283233643,4.898092746734619,842.2759847228083,47.213053324904884,43.911369824617374,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
25,4.92275333404541,4.898092746734619,4.947413921356201,797.2518717039773,44.98619040265263,43.02478183257995,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
26,4.9720447063446045,4.947413921356201,4.996675491333008,872.2768637593732,42.30213245884292,45.68811957390875,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
27,5.02160382270813,4.996675491333008,5.046532154083252,768.3938921202503,50.52847198176119,52.087024588086145,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
28,5.07205057144165,5.046532154083252,5.097568988800049,858.002536468972,50.011489914522926,48.96608507776476,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
29,5.122757911682129,5.097568988800049,5.147946834564209,761.9615335185754,51.80286798273164,51.277151789540824,0,0,0,none,NIRSPEC_G395H_NRS2,ExoTEP,uniform
