Wavelengthbincentre wavelengthbinfullwidth Transitdepth Transitdepth+veerror Transitdepth-veerror
0.859397 0.017188 0.001576 0.000049 0.000049
0.876758 0.017535 0.001565 0.000045 0.000047
0.894471 0.017889 0.001578 0.000046 0.000048
0.912541 0.018251 0.001533 0.000043 0.000042
0.930976 0.018620 0.001480 0.000039 0.000040
0.949783 0.018996 0.001593 0.000040 0.000040
0.968971 0.019379 0.001544 0.000040 0.000040
0.988546 0.019771 0.001587 0.000035 0.000035
1.008517 0.020170 0.001527 0.000035 0.000035
1.028891 0.020578 0.001461 0.000036 0.000035
1.049676 0.020994 0.001550 0.000034 0.000035
1.070882 0.021418 0.001507 0.000032 0.000032
1.092516 0.021850 0.001524 0.000034 0.000034
1.114587 0.022292 0.001475 0.000031 0.000030
1.137104 0.022742 0.001453 0.000032 0.000033
1.160076 0.023202 0.001489 0.000029 0.000029
1.183512 0.023670 0.001477 0.000029 0.000029
1.207421 0.024148 0.001475 0.000029 0.000030
1.231813 0.024636 0.001463 0.000028 0.000028
1.256698 0.025134 0.001472 0.000030 0.000030
1.282086 0.025642 0.001447 0.000028 0.000028
1.307987 0.026160 0.001419 0.000028 0.000028
1.334411 0.026688 0.001462 0.000027 0.000027
1.361369 0.027227 0.001542 0.000027 0.000027
1.388871 0.027777 0.001479 0.000029 0.000030
1.416929 0.028339 0.001496 0.000028 0.000028
1.445554 0.028911 0.001473 0.000029 0.000029
1.474757 0.029495 0.001473 0.000028 0.000029
1.504550 0.030091 0.001523 0.000030 0.000031
1.534945 0.030699 0.001469 0.000030 0.000029
1.565954 0.031319 0.001516 0.000030 0.000030
1.597590 0.031952 0.001461 0.000029 0.000030
1.629864 0.032597 0.001452 0.000030 0.000030
1.662791 0.033256 0.001465 0.000031 0.000031
1.696382 0.033928 0.001453 0.000032 0.000032
1.730653 0.034613 0.001459 0.000029 0.000030
1.765615 0.035312 0.001436 0.000033 0.000034
1.801284 0.036026 0.001430 0.000037 0.000036
1.837674 0.036753 0.001482 0.000033 0.000035
1.874799 0.037496 0.001433 0.000036 0.000036
1.912674 0.038253 0.001495 0.000036 0.000036
1.951313 0.039026 0.001532 0.000041 0.000041
1.990734 0.039815 0.001537 0.000038 0.000039
2.030951 0.040619 0.001523 0.000039 0.000039
2.071980 0.041440 0.001542 0.000042 0.000043
2.113838 0.042277 0.001387 0.000043 0.000043
2.156542 0.043131 0.001518 0.000042 0.000042
2.200109 0.044002 0.001479 0.000040 0.000042
2.244555 0.044891 0.001498 0.000043 0.000043
2.289900 0.045798 0.001427 0.000043 0.000043
2.336160 0.046723 0.001437 0.000047 0.000047
2.383355 0.047667 0.001475 0.000048 0.000048
2.431504 0.048630 0.001461 0.000049 0.000050
2.480625 0.049613 0.001478 0.000053 0.000054
2.530739 0.050615 0.001480 0.000055 0.000055
2.581865 0.051637 0.001495 0.000057 0.000059
2.634024 0.052680 0.001432 0.000058 0.000059
2.687237 0.053745 0.001503 0.000064 0.000064
2.741524 0.054830 0.001543 0.000071 0.000073
2.796908 0.055938 0.001342 0.000068 0.000069
2.826638 0.003520 0.001445 0.000117 0.000118
