wvl(micron) wvl_halfwidth(micron) depths depths_err
3.843277003896895305e+00 1.921638501948439923e-02 1.429727007056372625e-03 4.319933225300844905e-05
3.881902903433548158e+00 1.940951451716790149e-02 1.405260021582029973e-03 3.115010091677059803e-05
3.920917002965543130e+00 1.960458501482779947e-02 1.405802232081269183e-03 3.833233732676603948e-05
3.960323204000372854e+00 1.980161602000179988e-02 1.452128591102181104e-03 4.080886427576099133e-05
4.000125447256657196e+00 2.000062723628349970e-02 1.511505685147474789e-03 3.806982077157918524e-05
4.040327713058232462e+00 2.020163856529140142e-02 1.478431118590581685e-03 4.545676329928086411e-05
4.080934021732184114e+00 2.040467010866100009e-02 1.517167673630426435e-03 4.868329763441536540e-05
4.121948434010899831e+00 2.060974217005459921e-02 1.462714892419740261e-03 4.488344847221552422e-05
4.163375051438144681e+00 2.081687525719110032e-02 1.449304292941100197e-03 4.377272058023338796e-05
4.205218016779232570e+00 2.102609008389669937e-02 1.475700855821298740e-03 4.710171928801880380e-05
4.247481514435305527e+00 2.123740757217610145e-02 1.510818472389402912e-03 4.584751761967134463e-05
4.290169770861790965e+00 2.145084885430920130e-02 1.483706641327376405e-03 4.965425931864608111e-05
4.333287054991054710e+00 2.166643527495529936e-02 1.511393303639634684e-03 5.553563976499989072e-05
4.376837678659306619e+00 2.188418839329649840e-02 1.566339418162358181e-03 5.682943479499533049e-05
4.420825997037791666e+00 2.210412998518939895e-02 1.546961368686650563e-03 6.252728266816644069e-05
4.465256409068322441e+00 2.232628204534129954e-02 1.460820698522412699e-03 5.807473843172828739e-05
4.510133357903180595e+00 2.255066678951580042e-02 1.546881033001521388e-03 5.963015612147814159e-05
4.555461331349443199e+00 2.277730665674750077e-02 1.441756967327546607e-03 6.103840806688072215e-05
4.601244862317779294e+00 2.300622431158839964e-02 1.496076595536368747e-03 5.406689215998479849e-05
4.647488529275747737e+00 2.323744264637810086e-02 1.509793326487208088e-03 6.843004490271748354e-05
4.694196956705654067e+00 2.347098478352810033e-02 1.479028231488032155e-03 6.529882276359848671e-05
4.741374815567017009e+00 2.370687407783469980e-02 1.482055664988204177e-03 5.381287911040704851e-05
4.789026823763670393e+00 2.394513411881860065e-02 1.485039371558284638e-03 5.702850709658916298e-05
4.837157746615567078e+00 2.418578873307800081e-02 1.530300038386161717e-03 5.622881288203642684e-05
4.885772397335321315e+00 2.442886198667610156e-02 1.592184288812540467e-03 5.898215623834286611e-05
4.934875637509545498e+00 2.467437818754800172e-02 1.487188626833431697e-03 6.041649958577341781e-05
4.984472377585017711e+00 2.492236188792500140e-02 1.446973456829065297e-03 5.980132836841827072e-05
5.034567577359741364e+00 2.517283788679849921e-02 1.617419566849774082e-03 7.172070791813162408e-05
5.085166246478934227e+00 2.542583123239509912e-02 1.487195340844816313e-03 5.890960611815863532e-05
5.136273444936009014e+00 2.568136722467960140e-02 1.409699900756687056e-03 6.134431537773030673e-05
