wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
3.842911180257797099e+00 1.911896109581001646e-02 1.408053978007685727e-03 3.162534214792519539e-05 3.164142080508761112e-05
3.881340292060375674e+00 1.931015070676811440e-02 1.456919821548153821e-03 3.150159631708660674e-05 3.213634414246505956e-05
3.920153694980979431e+00 1.950325221383564234e-02 1.426484789627060785e-03 3.264973188378951334e-05 3.260333412307705146e-05
3.959355231930788754e+00 1.969828473597412533e-02 1.458525029992606284e-03 3.243878705070984622e-05 3.275014606421780550e-05
3.998948784250096811e+00 1.989526758333370893e-02 1.480247833112043835e-03 3.353141697255202815e-05 3.352146273398665978e-05
4.038938272092597259e+00 2.009422025916718368e-02 1.523934661172113812e-03 3.604038459361388717e-05 3.577415832191040493e-05
4.079327654813523552e+00 2.029516246175866456e-02 1.506278017023948874e-03 3.554550359708948462e-05 3.545052536045351262e-05
4.120120931361658023e+00 2.049811408637625121e-02 1.413197067629410469e-03 3.775898474920875818e-05 3.768514345860044315e-05
4.161322140675274284e+00 2.070309522724000928e-02 1.446218982112118176e-03 3.424980069763219719e-05 3.469745292975141317e-05
4.202935362082026671e+00 2.091012617951237829e-02 1.421947630037394229e-03 3.534009413189089129e-05 3.807627962496723008e-05
4.244964715702847613e+00 2.111922744130767526e-02 1.505688316771044326e-03 3.570103005374526163e-05 3.644566314438247266e-05
4.287414362859875538e+00 2.133041971572069428e-02 1.464035935763444412e-03 3.965156867706868225e-05 4.097627426021530940e-05
4.330288506488473743e+00 2.154372391287795452e-02 1.453663126902570487e-03 3.888174541637787023e-05 3.902469323785917772e-05
4.373591391553358854e+00 2.175916115200671186e-02 1.495270972143432093e-03 4.148221638235714825e-05 4.309382537786448676e-05
4.417327305468892185e+00 2.197675276352661911e-02 1.523322576058184358e-03 4.218773723631448480e-05 4.359759548146690741e-05
4.461500578523581062e+00 2.219652029116225833e-02 1.472288477622442446e-03 4.479498287615732606e-05 4.470087225082273324e-05
4.506115584308817645e+00 2.241848549407388091e-02 1.456726508240789066e-03 4.520843307133002274e-05 4.627369155148545153e-05
4.551176740151905875e+00 2.264267034901434883e-02 1.368886261281825317e-03 4.629484062500049089e-05 4.753827165574950851e-05
4.596688507553424508e+00 2.286909705250472769e-02 1.561057110163943966e-03 4.848071667323187832e-05 4.939423641847650627e-05
4.642655392628959099e+00 2.309778802302986378e-02 1.522838726685237258e-03 5.226734907675810622e-05 5.074560578799229560e-05
4.689081946555249125e+00 2.332876590326016242e-02 1.357369510674604797e-03 4.915037651266303612e-05 4.885888717854648677e-05
4.735972766020801750e+00 2.356205356229246206e-02 1.468447841680078176e-03 5.241671941895844136e-05 5.327734731945185653e-05
4.783332493681009545e+00 2.379767409791533339e-02 1.353344773289726554e-03 5.207995274440053134e-05 5.356672509971346224e-05
4.831165818617819241e+00 2.403565083889480647e-02 1.509228508922435706e-03 5.324658470529900108e-05 5.421849897565265454e-05
4.879477476803998570e+00 2.427600734728363463e-02 1.480542707090317777e-03 5.459005461547596430e-05 5.508997180981049444e-05
4.928272251572037632e+00 2.451876742075631554e-02 1.441951260569065800e-03 5.642909957960257766e-05 5.604216275262351513e-05
4.977554974087758488e+00 2.476395509496409630e-02 1.405285798490934221e-03 5.677644138521388724e-05 5.752323838157150614e-05
5.027330523828636544e+00 2.501159464591351522e-02 1.497900796661161445e-03 6.201192163243123348e-05 6.321524903112767969e-05
5.077603829066922536e+00 2.526171059237292127e-02 1.457507625811447398e-03 5.816936724111908437e-05 6.036690986994355974e-05
5.128379867357591770e+00 2.551432769829631297e-02 1.426936417500135118e-03 5.835865243555447487e-05 5.899098904138576696e-05
5.179663666031167679e+00 2.576947097527959585e-02 1.410769453014566483e-03 1.223917209997125305e-04 1.225246264994382054e-04
