wvl(micron) wvl_halfwidth(micron) depths depths_err
3.842911180257797099e+00 1.911896109581001646e-02 1.446291628666362397e-03 3.351129564253142989e-05
3.881340292060375674e+00 1.931015070676811440e-02 1.405521529045349050e-03 2.622159591825517675e-05
3.920153694980979431e+00 1.950325221383564234e-02 1.420714665565335488e-03 2.728154941803943016e-05
3.959355231930788754e+00 1.969828473597412533e-02 1.488376918369185842e-03 3.258664406043866482e-05
3.998948784250096811e+00 1.989526758333370893e-02 1.443153995419609991e-03 2.754666259585970709e-05
4.038938272092597259e+00 2.009422025916718368e-02 1.461234416171210831e-03 2.822232983407493403e-05
4.079327654813523552e+00 2.029516246175866456e-02 1.484209006891681459e-03 3.078260361936373241e-05
4.120120931361658023e+00 2.049811408637625121e-02 1.404453764433929303e-03 3.039591533841985322e-05
4.161322140675274284e+00 2.070309522724000928e-02 1.434795869711552770e-03 2.959539261557520018e-05
4.202935362082026671e+00 2.091012617951237829e-02 1.459437180793773676e-03 4.000473235139992678e-05
4.244964715702847613e+00 2.111922744130767526e-02 1.487387296561200681e-03 2.958058760207807344e-05
4.287414362859875538e+00 2.133041971572069428e-02 1.465748715726134833e-03 3.849783520846042416e-05
4.330288506488473743e+00 2.154372391287795452e-02 1.495299293265047944e-03 5.105544415740731012e-05
4.373591391553358854e+00 2.175916115200671186e-02 1.486862751652040342e-03 3.553272426157779942e-05
4.417327305468892185e+00 2.197675276352661911e-02 1.509805460563707746e-03 3.626167188173640154e-05
4.461500578523581062e+00 2.219652029116225833e-02 1.451687720848627433e-03 3.790192014360990811e-05
4.506115584308817645e+00 2.241848549407388091e-02 1.460489951816366103e-03 4.034199338134275250e-05
4.551176740151905875e+00 2.264267034901434883e-02 1.416977655494829243e-03 3.984495942760479337e-05
4.596688507553424508e+00 2.286909705250472769e-02 1.472713839523884932e-03 3.882881327437207665e-05
4.642655392628959099e+00 2.309778802302986378e-02 1.454110951795678074e-03 4.033797830550857409e-05
4.689081946555249125e+00 2.332876590326016242e-02 1.384045662870497405e-03 4.081181243620151771e-05
4.735972766020801750e+00 2.356205356229246206e-02 1.425620175387284179e-03 4.245709957827212500e-05
4.783332493681009545e+00 2.379767409791533339e-02 1.404968111026396989e-03 4.001579607104364808e-05
4.831165818617819241e+00 2.403565083889480647e-02 1.456039727165326769e-03 4.342741846886652906e-05
4.879477476803998570e+00 2.427600734728363463e-02 1.523787543648582286e-03 5.783501848333985634e-05
4.928272251572037632e+00 2.451876742075631554e-02 1.443674282880634974e-03 4.572914626497620708e-05
4.977554974087758488e+00 2.476395509496409630e-02 1.412625801195503640e-03 4.953374288034307152e-05
5.027330523828636544e+00 2.501159464591351522e-02 1.516946884125807424e-03 6.465786229860003812e-05
5.077603829066922536e+00 2.526171059237292127e-02 1.429517063164322671e-03 4.934934459387612998e-05
5.128379867357591770e+00 2.551432769829631297e-02 1.417420381401773410e-03 4.740929606882885643e-05
5.179663666031167679e+00 2.576947097527959585e-02 1.432589495987741067e-03 9.991698278502019110e-05
