wvl(micron) wvl_fullwidth(micron) depths depths_err_down depths_err_up
3.828358614373063684e+00 7.656717228746057202e-03 1.512536527487809814e-03 4.923973431205297733e-05 5.092355546108519532e-05
3.843702737075961551e+00 7.687405474151809415e-03 1.405207396976394145e-03 4.080944702321132300e-05 4.249937994381953722e-05
3.859108359268650812e+00 7.718216718537451726e-03 1.510660097097781462e-03 5.193866321236446514e-05 5.723564372733904229e-05
3.874575727442072459e+00 7.749151454884195545e-03 1.418000824695230715e-03 4.231413147285457759e-05 4.381866284697519704e-05
3.890105089075106992e+00 7.780210178150337441e-03 1.400092684984993122e-03 4.195369136090486869e-05 4.205706602953688037e-05
3.905696692638534362e+00 7.811393385277032309e-03 1.430452830137085183e-03 4.260073491056987110e-05 4.396862736022571610e-05
3.921350787599009458e+00 7.842701575198063324e-03 1.408294370157077771e-03 4.183544919144905998e-05 4.150083459211399803e-05
3.937067624423053580e+00 7.874135248846059199e-03 1.495589761416264317e-03 4.603493345599363342e-05 4.907281239369886235e-05
3.952847454581061903e+00 7.905694909162264139e-03 1.481955711053678038e-03 4.363562818517709207e-05 4.505142776976276054e-05
3.968690530551326923e+00 7.937381061102755098e-03 1.501130439434152520e-03 4.604078181229131095e-05 4.739169456636315158e-05
3.984597105824077889e+00 7.969194211648211734e-03 1.470640782863878813e-03 4.392145808626941932e-05 4.501112532830998573e-05
4.000567434905537567e+00 8.001134869811021844e-03 1.415374559274661798e-03 4.525842381073657221e-05 4.690313523578547560e-05
4.016601773321992752e+00 8.033203546644163140e-03 1.490650823197578294e-03 4.348373223376378614e-05 4.474343108710992611e-05
4.032700377623884336e+00 8.065400755247864595e-03 1.491828499573718061e-03 4.395079573922546591e-05 4.572400851794751470e-05
4.048863505389912021e+00 8.097727010779820489e-03 1.390486033260435227e-03 4.760376074274046089e-05 4.731418842597373206e-05
4.065091415231154137e+00 8.130182830462295840e-03 1.540364744960695358e-03 4.857290431511853134e-05 4.904673397351090011e-05
4.081384366795207441e+00 8.162768733590564096e-03 1.521757579080059396e-03 4.338681215591374309e-05 4.429807239093358137e-05
4.097742620770338462e+00 8.195485241540456656e-03 1.430545908707351417e-03 4.615811315755814689e-05 5.116154597399852171e-05
4.114166438889657940e+00 8.228332877779021004e-03 1.463402227202137895e-03 4.782107533135136095e-05 5.037277255246980966e-05
4.130656083935306810e+00 8.261312167870737966e-03 1.372426501006471710e-03 4.707143003067893708e-05 4.862736062947632123e-05
4.147211819742663508e+00 8.294423639485071220e-03 1.422542365469721490e-03 4.941287037043847581e-05 5.139380735944058766e-05
4.163833911204557481e+00 8.327667822408901799e-03 1.422631050989066207e-03 4.747168603588016985e-05 4.934574684727306080e-05
4.180522624275517352e+00 8.361045248551413067e-03 1.495854969541461892e-03 4.767763193447354465e-05 4.843225992402546554e-05
4.197278225976020849e+00 8.394556451952084331e-03 1.508789376545311388e-03 4.954507168499390631e-05 5.255267530811846073e-05
4.214100984396766947e+00 8.428201968793569421e-03 1.447578683521422768e-03 5.107516752913417553e-05 5.690294933654523903e-05
4.230991168702965766e+00 8.461982337406137589e-03 1.550051110611401972e-03 4.921186847386981223e-05 5.102255078538343457e-05
4.247949049138648903e+00 8.495898098276999377e-03 1.464904266054649611e-03 4.756076593544202263e-05 4.937723532041901267e-05
4.264974897030988643e+00 8.529949794061852941e-03 1.482010862584519839e-03 5.066759678936581758e-05 5.222829645947449785e-05
