Wavelengthbincentre wavelengthbinfullwidth Transitdepth Transitdepth+veerror Transitdepth-veerror
0.606858 0.012137 0.001537 0.000116 0.000116
0.619117 0.012382 0.001552 0.000115 0.000115
0.631625 0.012632 0.001536 0.000101 0.000101
0.644385 0.012888 0.001653 0.000094 0.000095
0.657403 0.013148 0.001615 0.000084 0.000083
0.670684 0.013414 0.001693 0.000082 0.000084
0.684233 0.013685 0.001598 0.000080 0.000081
0.698056 0.013961 0.001546 0.000067 0.000068
0.712158 0.014243 0.001689 0.000069 0.000069
0.726545 0.014531 0.001603 0.000063 0.000064
0.741223 0.014824 0.001543 0.000058 0.000059
0.756197 0.015124 0.001554 0.000059 0.000059
0.771473 0.015429 0.001482 0.000063 0.000063
0.787059 0.015741 0.001535 0.000060 0.000061
0.802959 0.016059 0.001489 0.000062 0.000064
0.819180 0.016384 0.001367 0.000065 0.000067
0.835729 0.016715 0.001536 0.000068 0.000068
0.852613 0.017052 0.001478 0.000073 0.000074
0.869837 0.017397 0.001575 0.000079 0.000080
0.887410 0.017748 0.001520 0.000082 0.000082
0.898120 0.003672 0.001490 0.000109 0.000109
