wvl(micron) wvl_fullwidth(micron) depths depths_err_up depths_err_down
3.842911180257797099e+00 1.911896109581001646e-02 1.496258598210129529e-03 5.416088589526007330e-05 6.553312394207123047e-05
3.881340292060375674e+00 1.931015070676811440e-02 1.359353227937564216e-03 4.351778358319775483e-05 4.502649059444363555e-05
3.920153694980979431e+00 1.950325221383564234e-02 1.427496175020310631e-03 4.561613317288423786e-05 4.695016692733830141e-05
3.959355231930788754e+00 1.969828473597412533e-02 1.524446655261183035e-03 5.618050220828935300e-05 5.940739549971808114e-05
3.998948784250096811e+00 1.989526758333370893e-02 1.416949937714313563e-03 4.830571748689542304e-05 5.050564667276086391e-05
4.038938272092597259e+00 2.009422025916718368e-02 1.416219384557614296e-03 4.712913633285226341e-05 4.969779565689954638e-05
4.079327654813523552e+00 2.029516246175866456e-02 1.463206364483420540e-03 4.827446028156530920e-05 5.102007339153323030e-05
4.120120931361658023e+00 2.049811408637625121e-02 1.409822088683669161e-03 5.037558840761046861e-05 5.454297217968536761e-05
4.161322140675274284e+00 2.070309522724000928e-02 1.444378123186416214e-03 5.249221276845813730e-05 5.535125037266089634e-05
4.202935362082026671e+00 2.091012617951237829e-02 1.518885945237403523e-03 6.410917380284485677e-05 8.035963629270288788e-05
4.244964715702847613e+00 2.111922744130767526e-02 1.473373429477722743e-03 5.076156393119739089e-05 5.223045150365749310e-05
4.287414362859875538e+00 2.133041971572069428e-02 1.492471720422890386e-03 6.325538784747431441e-05 7.070268443359439652e-05
4.330288506488473743e+00 2.154372391287795452e-02 1.550388878868740787e-03 8.838957986319752151e-05 1.063312166560614544e-04
4.373591391553358854e+00 2.175916115200671186e-02 1.505935753287554859e-03 6.164734987133108600e-05 6.502046040998883149e-05
4.417327305468892185e+00 2.197675276352661911e-02 1.519198278055619361e-03 6.508506974373063844e-05 6.734389590961936851e-05
4.461500578523581062e+00 2.219652029116225833e-02 1.449369100593404097e-03 6.465986052547586030e-05 6.757994388017878051e-05
4.506115584308817645e+00 2.241848549407388091e-02 1.468431496969627419e-03 6.376334212071770730e-05 7.020321224365149229e-05
4.551176740151905875e+00 2.264267034901434883e-02 1.481206282809210397e-03 6.743485495082791187e-05 7.082980182301695446e-05
4.596688507553424508e+00 2.286909705250472769e-02 1.404877176305153541e-03 6.313626396187740734e-05 6.602685995859181207e-05
4.642655392628959099e+00 2.309778802302986378e-02 1.422153465174974497e-03 6.879644794626719323e-05 6.791698516167717602e-05
4.689081946555249125e+00 2.332876590326016242e-02 1.420340794648768633e-03 6.531450789483287181e-05 6.924506553584335901e-05
4.735972766020801750e+00 2.356205356229246206e-02 1.417240772649259409e-03 7.154016477014016849e-05 7.375568022556988276e-05
4.783332493681009545e+00 2.379767409791533339e-02 1.466498407153974271e-03 6.724162384952672711e-05 6.745923079603719473e-05
4.831165818617819241e+00 2.403565083889480647e-02 1.427982334452234953e-03 7.337423055505548110e-05 7.714930125849567798e-05
4.879477476803998570e+00 2.427600734728363463e-02 1.602006463650153863e-03 9.250504727281120415e-05 1.090391503766282612e-04
4.928272251572037632e+00 2.451876742075631554e-02 1.465461927167865854e-03 7.570957332091133793e-05 7.977809653343225643e-05
4.977554974087758488e+00 2.476395509496409630e-02 1.462108379507215741e-03 8.366802318308399176e-05 8.825106705239891755e-05
5.027330523828636544e+00 2.501159464591351522e-02 1.559009381667163675e-03 9.302736268798432982e-05 1.183014845790430342e-04
5.077603829066922536e+00 2.526171059237292127e-02 1.448364184750684965e-03 8.849859982146832463e-05 9.081909395285310549e-05
5.128379867357591770e+00 2.551432769829631297e-02 1.421373359982275623e-03 7.642849901412073627e-05 8.186578719331441545e-05
5.179663666031167679e+00 2.576947097527959585e-02 1.496582964019922040e-03 1.676307398849649199e-04 1.745541352807271004e-04
